product_name,lot_number,expiry_date,quantity,storage_conditions
Amoxicillin 500mg,LOT001,2025-12-31,100,Normal storage
Paracetamol 500mg,LOT002,2024-05-10,50,Normal storage
Ibuprofen 200mg,LOT003,2023-10-15,75,Cold storage
Ciprofloxacin 250mg,LOT004,2024-03-20,120,Normal storage
Aspirin 81mg,LOT005,2025-06-30,200,Normal storage
Metformin 500mg,LOT006,2025-07-20,150,Normal storage
Atorvastatin 10mg,LOT007,2026-01-15,180,Normal storage
Losartan 50mg,LOT008,2025-08-25,130,Normal storage
Levothyroxine 100mcg,LOT009,2024-09-01,140,Normal storage
Pantoprazole 40mg,LOT010,2023-12-15,100,Cold storage
Furosemide 40mg,LOT011,2025-11-10,110,Normal storage
Simvastatin 20mg,LOT012,2026-02-28,160,Normal storage
Hydrochlorothiazide 25mg,LOT013,2025-05-05,90,Normal storage
Prednisolone 5mg,LOT014,2025-12-12,60,Cold storage
Omeprazole 20mg,LOT015,2024-04-08,140,Normal storage
Clopidogrel 75mg,LOT016,2025-08-18,80,Normal storage
Amlodipine 5mg,LOT017,2024-06-20,130,Normal storage
Warfarin 2.5mg,LOT018,2025-10-22,70,Normal storage
Metoprolol 25mg,LOT019,2023-11-30,100,Cold storage
Fluoxetine 20mg,LOT020,2024-12-31,85,Normal storage
Alprazolam 0.5mg,LOT021,2025-03-19,95,Normal storage
Gabapentin 300mg,LOT022,2024-02-17,110,Normal storage
Lisinopril 10mg,LOT023,2025-07-07,150,Normal storage
Montelukast 10mg,LOT024,2024-11-22,70,Cold storage
Clonazepam 1mg,LOT025,2025-09-25,60,Cold storage
Sertraline 100mg,LOT026,2025-04-18,130,Normal storage
Doxycycline 100mg,LOT027,2024-08-12,100,Normal storage
Allopurinol 300mg,LOT028,2025-05-30,80,Normal storage
Citalopram 20mg,LOT029,2023-12-05,110,Cold storage
Lorazepam 1mg,LOT030,2024-06-15,90,Cold storage
Hydrocodone 5mg,LOT031,2024-01-30,75,Normal storage
Zolpidem 10mg,LOT032,2025-08-01,60,Normal storage
Tramadol 50mg,LOT033,2025-02-22,85,Normal storage
Venlafaxine 150mg,LOT034,2026-03-18,100,Normal storage
Esomeprazole 40mg,LOT035,2024-11-09,70,Cold storage
Meloxicam 15mg,LOT036,2024-10-10,120,Normal storage
Trazodone 50mg,LOT037,2025-09-14,110,Normal storage
Cyclobenzaprine 10mg,LOT038,2025-07-05,90,Normal storage
Quetiapine 200mg,LOT039,2026-01-09,130,Normal storage
Ondansetron 8mg,LOT040,2024-03-25,150,Normal storage
Methotrexate 2.5mg,LOT041,2025-06-16,60,Cold storage
Baclofen 10mg,LOT042,2024-07-22,100,Normal storage
Valacyclovir 500mg,LOT043,2025-11-11,80,Normal storage
Ranitidine 150mg,LOT044,2024-02-05,90,Cold storage
Famotidine 20mg,LOT045,2025-08-30,120,Normal storage
Loratadine 10mg,LOT046,2023-12-28,150,Normal storage
Duloxetine 60mg,LOT047,2025-01-21,85,Normal storage
Diclofenac 75mg,LOT048,2024-10-15,90,Normal storage
Oxycodone 5mg,LOT049,2025-05-12,70,Normal storage
Morphine 15mg,LOT050,2026-02-02,60,Cold storage
